it, prob 
244, 0.011803762
245, 0.011808118
246, 0.011812477
247, 0.011816839
248, 0.011821204
249, 0.011825573
250, 0.011615245
251, 0.011619463
252, 0.011623683
253, 0.011548177
254, 0.011552347
255, 0.011556518
256, 0.011560693
257, 0.011416339
258, 0.011420414
259, 0.011424491
260, 0.011428571
261, 0.01131942
262, 0.011323425
263, 0.011130434
264, 0.011134308
265, 0.011138183
266, 0.011142061
267, 0.011145942
268, 0.0111498255
269, 0.011153712
270, 0.011157601
271, 0.011034483
272, 0.011038289
273, 0.0109028965
274, 0.0109066125
275, 0.01091033
276, 0.010914052
277, 0.010917775
278, 0.010921502
279, 0.010925231
280, 0.010928961
281, 0.010932696
282, 0.010752688
283, 0.010756303
284, 0.010759919
285, 0.010763538
286, 0.01076716
287, 0.010770785
288, 0.01077441
289, 0.010663113
290, 0.010666667
291, 0.010670223
292, 0.010673783
293, 0.0105159385
294, 0.010519396
295, 0.0104302475
296, 0.010433649
297, 0.010437052
298, 0.010440457
299, 0.010443864
300, 0.010447274
301, 0.010450685
302, 0.0104541
303, 0.010457517
304, 0.01036941
305, 0.010372772
306, 0.010376135
307, 0.010279473
308, 0.010282776
309, 0.010286082
310, 0.010165184
311, 0.010168415
312, 0.010171646
313, 0.010174881
314, 0.010178117
315, 0.010181355
316, 0.010184595
317, 0.010187838
318, 0.010191083
319, 0.010075566
320, 0.01007874
321, 0.009971954
322, 0.009831029
323, 0.00983405
324, 0.009837073
325, 0.009840098
326, 0.009843125
327, 0.009759073
328, 0.009606725
329, 0.00960961
330, 0.00954654
331, 0.009549389
332, 0.0095522385
333, 0.009484292
334, 0.009487104
335, 0.009378663
336, 0.009278052
337, 0.009280742
338, 0.009283435
339, 0.009286129
340, 0.009288824
341, 0.009291521
342, 0.00929422
343, 0.009166428
344, 0.009169054
345, 0.009171682
346, 0.0091743115
347, 0.009103841
348, 0.009106431
349, 0.009109024
350, 0.009029346
351, 0.009031894
352, 0.009034444
353, 0.0090369955
354, 0.008933556
355, 0.008856906
356, 0.008859358
357, 0.008861811
358, 0.008864266
359, 0.008866722
360, 0.00850947
361, 0.008511807
362, 0.008433079
363, 0.008378378
364, 0.008380643
365, 0.008271078
366, 0.008273285
367, 0.008188061
368, 0.008190225
369, 0.008192389
370, 0.008194555
371, 0.008196721
372, 0.008198889
373, 0.008201058
374, 0.008203228
375, 0.008160043
376, 0.00816219
377, 0.008104575
378, 0.008106695
379, 0.008108815
380, 0.008041505
381, 0.007969151
382, 0.007971201
383, 0.007973251
384, 0.007910181
385, 0.0079122
386, 0.00791422
387, 0.007916241
388, 0.007918263
389, 0.0078243315
390, 0.007732602
391, 0.007734531
392, 0.0077364612
393, 0.0074571217
394, 0.0074589755
395, 0.0074608307
396, 0.007398274
397, 0.0074000987
398, 0.007327797
399, 0.0072850897
400, 0.007286859
401, 0.0072886297
402, 0.007290401
403, 0.0072481274
404, 0.007249879
405, 0.007208073
406, 0.0072098053
407, 0.0072115385
408, 0.0072132726
409, 0.007215007
410, 0.007130972
411, 0.0071326676
412, 0.007134364
413, 0.007136061
414, 0.0071377587
415, 0.0070505287
416, 0.007006072
417, 0.0070077083
418, 0.006931608
419, 0.00693321
420, 0.0069348128
421, 0.006857143
422, 0.006830601
423, 0.006756757
424, 0.0067582787
425, 0.006759802
426, 0.006761325
427, 0.0067628496
428, 0.006764374
429, 0.0067658997
430, 0.006767426
431, 0.006768953
432, 0.006770481
433, 0.006772009
434, 0.006773538
435, 0.0067750677
436, 0.0067765983
437, 0.0067781294
438, 0.006779661
439, 0.0067811934
440, 0.006782727
441, 0.0067842607
442, 0.006785795
443, 0.0067249495
444, 0.0067264573
445, 0.006727966
446, 0.006729475
447, 0.006730985
448, 0.0067324955
449, 0.0067340066
450, 0.0067355186
451, 0.006737031
452, 0.0066740825
453, 0.0066357
454, 0.006591958
455, 0.0065934067
456, 0.006594856
457, 0.0065416484
458, 0.006543075
459, 0.0065445025
460, 0.0065459306
461, 0.0065473593
462, 0.0065487884
463, 0.0065502184
464, 0.006551649
465, 0.00655308
466, 0.006554512
467, 0.006518905
468, 0.0065203216
469, 0.006521739
470, 0.006523157
471, 0.006524576
472, 0.006525995
473, 0.006527415
474, 0.0064808815
475, 0.0064822817
476, 0.0064446833
477, 0.006407518
478, 0.006408887
479, 0.0064102565
480, 0.0064116265
481, 0.006412997
482, 0.0064143683
483, 0.00641574
484, 0.0063789072
485, 0.0063802637
486, 0.006327779
487, 0.006329114
488, 0.0063304496
489, 0.0063317856
490, 0.006333122
491, 0.0063344594
492, 0.0063357973
493, 0.0063371356
494, 0.0063384743
495, 0.006339814
496, 0.006341154
497, 0.006342495
498, 0.006343836
499, 0.0063451775
500, 0.00634652
501, 0.006347863
502, 0.0063492064
503, 0.0063505503
504, 0.006351895
505, 0.006322445
506, 0.0063237776
507, 0.006325111
508, 0.006290627
509, 0.0062919464
510, 0.006293266
511, 0.0062945867
512, 0.006243496
513, 0.006244796
514, 0.006246096
515, 0.006247397
516, 0.006248698
517, 0.00625
518, 0.0062513025
519, 0.006204757
520, 0.0061703003
521, 0.006117455
522, 0.006050827
523, 0.0060520475
524, 0.006053269
525, 0.0060544903
526, 0.0060557127
527, 0.006056935
528, 0.0060253064
529, 0.0059784777
530, 0.0059796693
531, 0.005952381
532, 0.0059535624
533, 0.005954744
534, 0.005955926
535, 0.005957109
536, 0.005958292
537, 0.005899705
538, 0.0059008654
539, 0.0059020263
540, 0.0059031877
541, 0.0059043495
542, 0.0058605196
543, 0.005828638
544, 0.0057747834
545, 0.0057758954
546, 0.0057770074
547, 0.0057781204
548, 0.005741627
549, 0.005742726
550, 0.0057164636
551, 0.0057175527
552, 0.005678592
553, 0.005679667
554, 0.005680742
555, 0.0056818184
556, 0.0056828945
557, 0.005683971
558, 0.005685048
559, 0.0056861257
560, 0.0056872037
561, 0.005688282
562, 0.0056893607
563, 0.00569044
564, 0.0056915195
565, 0.0056926
566, 0.00569368
567, 0.005694761
568, 0.005695842
569, 0.0056969235
570, 0.005657175
571, 0.0056582424
572, 0.0056593097
573, 0.0056603774
574, 0.0056614457
575, 0.0056625144
576, 0.005663583
577, 0.0056646527
578, 0.0056657223
579, 0.0056667924
580, 0.0056678634
581, 0.0056689344
582, 0.0056700055
583, 0.0056306305
584, 0.0055897147
585, 0.0055907564
586, 0.0055586435
587, 0.005559674
588, 0.005531993
589, 0.005504587
590, 0.005505597
591, 0.0055066077
592, 0.0055076187
593, 0.005479452
594, 0.005480453
595, 0.0054814545
596, 0.005482456
597, 0.0054834583
598, 0.005484461
599, 0.0054854634
600, 0.005486467
601, 0.0054684654
602, 0.0054694624
603, 0.0054416833
604, 0.0054122317
605, 0.005413208
606, 0.005414185
607, 0.0054151625
608, 0.00541614
609, 0.0054171183
610, 0.0054180967
611, 0.005419075
612, 0.005393743
613, 0.005394713
614, 0.005357143
615, 0.0053580995
616, 0.005359057
617, 0.0053600143
618, 0.005360972
619, 0.0053619305
620, 0.005362889
621, 0.0053267046
622, 0.0053276503
623, 0.005328597
624, 0.0053295433
625, 0.005303164
626, 0.005304102
