method, time, visited, solutions
best_first_R2S, 5000, 25748, 0
montecarlo, 5000, 20074.0, 18.0
montecarloR2S, 5000, 11225.0, 32.0
domain_heuristics, 10000, 15662, 24
best_first_R2S, 10000, 45100, 0
montecarlo, 10000, 24263.0, 26.0
montecarloR2S, 10000, 16969.0, 52.0
domain_heuristics, 500, 1394, 21
best_first_R2S, 500, 5248, 0
montecarlo, 500, 4027.0, 6.0
montecarloR2S, 500, 2521.0, 16.0
domain_heuristics, 1000, 2460, 45
best_first_R2S, 1000, 9020, 0
montecarlo, 1000, 6424.0, 10.0
montecarloR2S, 1000, 4005.0, 42.0
domain_heuristics, 2000, 4141, 45
best_first_R2S, 2000, 12792, 0
montecarlo, 2000, 10856.0, 17.0
montecarloR2S, 2000, 6162.0, 74.0
domain_heuristics, 5000, 9143, 45
best_first_R2S, 5000, 26486, 0
montecarlo, 5000, 23545.0, 47.0
montecarloR2S, 5000, 11916.0, 140.0
domain_heuristics, 10000, 17589, 45
best_first_R2S, 10000, 30709, 0
montecarlo, 10000, 31905.0, 68.0
montecarloR2S, 10000, 17005.0, 260.0
domain_heuristics, 500, 1517, 26
best_first_R2S, 500, 3977, 0
montecarlo, 500, 4074.0, 0.0
montecarloR2S, 500, 2103.0, 2.0
domain_heuristics, 1000, 2337, 26
best_first_R2S, 1000, 8118, 0
montecarlo, 1000, 6324.0, 1.0
montecarloR2S, 1000, 3676.0, 6.0
domain_heuristics, 2000, 4305, 26
best_first_R2S, 2000, 13366, 0
montecarlo, 2000, 10705.0, 3.0
montecarloR2S, 2000, 5463.0, 7.0
domain_heuristics, 5000, 9676, 26
best_first_R2S, 5000, 26650, 0
montecarlo, 5000, 21931.0, 14.0
montecarloR2S, 5000, 10587.0, 30.0
domain_heuristics, 10000, 18081, 26
best_first_R2S, 10000, 27675, 0
montecarlo, 10000, 26444.0, 25.0
montecarloR2S, 10000, 15801.0, 44.0
domain_heuristics, 500, 1312, 18
best_first_R2S, 500, 4797, 0
montecarlo, 500, 4088.0, 7.0
montecarloR2S, 500, 2472.0, 17.0
domain_heuristics, 1000, 2378, 21
best_first_R2S, 1000, 7954, 0
montecarlo, 1000, 6723.0, 9.0
montecarloR2S, 1000, 4042.0, 34.0
domain_heuristics, 2000, 3854, 21
best_first_R2S, 2000, 12669, 0
montecarlo, 2000, 10891.0, 19.0
montecarloR2S, 2000, 6198.0, 66.0
domain_heuristics, 5000, 9184, 21
best_first_R2S, 5000, 25051, 0
montecarlo, 5000, 23090.0, 48.0
montecarloR2S, 5000, 12070.0, 176.0
domain_heuristics, 10000, 14473, 21
best_first_R2S, 10000, 44157, 0
montecarlo, 10000, 32912.0, 67.0
montecarloR2S, 10000, 17179.0, 217.0
domain_heuristics, 500, 1517, 21
best_first_R2S, 500, 4961, 0
montecarlo, 500, 3927.0, 0.0
montecarloR2S, 500, 2217.0, 0.0
domain_heuristics, 1000, 2624, 21
best_first_R2S, 1000, 7954, 0
montecarlo, 1000, 6215.0, 0.0
montecarloR2S, 1000, 3455.0, 0.0
domain_heuristics, 2000, 4469, 21
best_first_R2S, 2000, 12997, 0
montecarlo, 2000, 10656.0, 0.0
montecarloR2S, 2000, 5180.0, 1.0
domain_heuristics, 5000, 9963, 21
best_first_R2S, 5000, 25502, 0
montecarlo, 5000, 21484.0, 2.0
montecarloR2S, 5000, 9378.0, 2.0
domain_heuristics, 10000, 16728, 21
best_first_R2S, 10000, 45510, 0
montecarlo, 10000, 21575.0, 2.0
montecarloR2S, 10000, 13254.0, 4.0
domain_heuristics, 500, 1394, 25
best_first_R2S, 500, 5248, 0
montecarlo, 500, 3969.0, 7.0
montecarloR2S, 500, 2644.0, 27.0
domain_heuristics, 1000, 2501, 25
best_first_R2S, 1000, 7954, 0
montecarlo, 1000, 6531.0, 14.0
montecarloR2S, 1000, 4379.0, 54.0
domain_heuristics, 2000, 4469, 25
best_first_R2S, 2000, 12136, 0
montecarlo, 2000, 10880.0, 24.0
montecarloR2S, 2000, 6866.0, 109.0
domain_heuristics, 5000, 9676, 25
best_first_R2S, 5000, 26240, 0
montecarlo, 5000, 23316.0, 53.0
montecarloR2S, 5000, 13401.0, 248.0
domain_heuristics, 10000, 19147, 25
best_first_R2S, 10000, 30750, 0
montecarlo, 10000, 31664.0, 84.0
montecarloR2S, 10000, 20239.0, 444.0
domain_heuristics, 500, 1271, 17
best_first_R2S, 500, 5248, 0
montecarlo, 500, 3910.0, 5.0
montecarloR2S, 500, 2424.0, 8.0
domain_heuristics, 1000, 2337, 18
best_first_R2S, 1000, 7421, 0
montecarlo, 1000, 5438.0, 7.0
montecarloR2S, 1000, 3782.0, 21.0
domain_heuristics, 2000, 4141, 18
best_first_R2S, 2000, 9635, 0
montecarlo, 2000, 10818.0, 14.0
montecarloR2S, 2000, 5929.0, 35.0
domain_heuristics, 5000, 8651, 18
best_first_R2S, 5000, 25871, 0
montecarlo, 5000, 23659.0, 38.0
montecarloR2S, 5000, 11402.0, 66.0
domain_heuristics, 10000, 17384, 18
best_first_R2S, 10000, 44772, 0
montecarlo, 10000, 33098.0, 62.0
montecarloR2S, 10000, 16262.0, 116.0
domain_heuristics, 500, 1271, 19
best_first_R2S, 500, 5125, 0
montecarlo, 500, 4054.0, 1.0
montecarloR2S, 500, 2576.0, 9.0
domain_heuristics, 1000, 2460, 46
best_first_R2S, 1000, 8446, 0
montecarlo, 1000, 6424.0, 2.0
montecarloR2S, 1000, 4140.0, 18.0
domain_heuristics, 2000, 4223, 46
best_first_R2S, 2000, 12382, 0
montecarlo, 2000, 9742.0, 4.0
montecarloR2S, 2000, 6577.0, 30.0
domain_heuristics, 5000, 9184, 46
best_first_R2S, 5000, 26035, 0
